C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-328965,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,50-100,71.3,N.D.,N.D.,N.D.,N.D.,4.8,15.5,20.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.4,<1,5.42,4.8,121,0.6,0.24,0.11,N.D.,0.11,0.02,<0.1,36.3,3.7,26,<5,12.3,3.3,12.5,0.01,0.06,0.35,20.3,17,0.11,41,1.32,0.02,11.3,11.4,110,14,25.9,0.03,0.52,7.5,0.6,1.8,18.8,<0.1,10.8,0.4,0.3,2.8,68,0.9,7.7,28
C-328951,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,60-100,84.5,N.D.,N.D.,N.D.,N.D.,10.2,N.D.,10.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.3,<1,2.66,3.5,135,0.5,0.14,0.21,N.D.,0.21,0.02,<0.1,31.8,2.8,19,<5,9.9,1.48,5.49,0.05,0.02,0.33,15.1,17,0.12,64,0.8,0.01,6.5,10.7,150,9.9,32.7,<0.01,0.38,4.2,0.3,0.9,20.6,<0.1,5.8,0.22,0.3,2,38,0.5,6.3,28
C-328952,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,30-100,81.3,N.D.,N.D.,N.D.,N.D.,3.6,7.9,11.4,7.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,5.13,6.1,59,0.4,0.23,0.13,N.D.,0.13,0.01,<0.1,85.4,1.7,15,<5,12.7,1.78,9.19,0.03,0.04,0.12,35.1,15,0.07,92,1.39,<0.01,10.1,16.7,130,12.6,14.1,0.02,0.55,5.5,0.3,1.5,8.2,<0.1,9,0.3,0.2,2.1,51,0.9,24.4,21
C-328842,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,60-100,78.2,2.8,N.D.,2.8,N.D.,6.5,5.8,12.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.7,<1,4.01,2.7,298,1.1,0.14,0.18,N.D.,0.18,<0.01,<0.1,52.8,16.5,25,<5,11.6,1.74,10.1,0.04,0.04,0.75,19.6,26,0.14,253,0.84,0.05,11.3,14.8,120,13.7,66.9,<0.01,0.54,6.7,0.4,1.6,28.2,<0.1,7,0.4,0.5,2.3,55,0.9,9.6,43
C-328880,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,60-70,69.9,N.D.,N.D.,N.D.,N.D.,8.5,14.1,22.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.8,N.D.,N.D.,N.D.,5.7,<1,5.39,7.3,235,1.4,0.24,0.23,N.D.,0.23,0.04,<0.1,80.3,8,42,<5,15.9,3.85,15.2,0.06,0.06,0.54,33.4,24,0.16,182,2.5,0.04,14.2,22.6,290,17,51.2,0.02,0.93,9.5,0.5,1.9,36.5,<0.1,9,0.32,0.5,2.9,87,9.8,11.4,69
C-328837,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,60-100,82.1,N.D.,N.D.,N.D.,N.D.,9.1,8.7,17.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.2,<1,4.17,5,148,0.8,0.15,0.2,N.D.,0.2,<0.01,<0.1,36.6,4.4,29,<5,8.4,2.2,11.2,0.05,0.04,0.4,17.2,22,0.14,56,0.83,0.02,10.2,12.2,150,10.5,44.1,<0.01,0.5,6.2,0.3,1.6,27.6,<0.1,6.5,0.29,0.4,2,54,0.7,8.4,31
C-328896,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,25-100,78.2,N.D.,N.D.,N.D.,N.D.,3.4,9.4,12.7,6.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.3,<1,6.14,6.5,43,0.5,0.33,0.21,N.D.,0.21,0.02,<0.1,41,2.5,28,<5,16,2.52,14.7,0.03,0.06,0.1,22.3,20,0.08,44,2.03,<0.01,16,20.3,200,10.6,12.3,0.03,0.73,7.5,0.3,2.7,8.9,<0.1,14.9,0.49,0.2,2.8,76,1.2,9.3,22
C-328841,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,50-100,88.6,1.6,N.D.,1.6,N.D.,7.9,N.D.,7.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.9,<1,1.99,2.8,151,0.6,0.15,0.91,N.D.,0.91,0.03,<0.1,44.7,2.7,18,<5,8.2,0.9,5.04,0.06,<0.02,0.32,20.7,24,0.1,122,0.62,0.03,9.5,6.8,220,15.9,24.1,0.02,0.43,2.9,0.3,1.3,19.6,<0.1,4.8,0.29,0.2,1.9,29,0.8,11.5,28
C-329009,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,60-100,57.6,N.D.,N.D.,N.D.,N.D.,8.5,21.6,30.1,3.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.7,<1,7.16,6.3,193,1.1,0.28,0.14,N.D.,0.14,<0.01,<0.1,46.8,3.2,39,<5,9.1,3.03,19.7,0.03,0.07,0.63,23.9,21,0.14,55,1.11,0.04,18.7,13.2,120,18,35.8,0.02,0.55,10.2,0.6,2.5,29.4,<0.1,17.3,0.5,0.4,2.8,90,1.2,8.8,31
C-328881,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,60-100,66.4,0.5,N.D.,0.5,N.D.,14.8,12.7,27.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.6,<1,6.1,5.4,245,0.8,0.23,0.16,N.D.,0.16,0.03,<0.1,43.2,2.9,45,5,11.7,2.85,17,0.02,0.06,0.83,20.8,23,0.3,49,1,0.06,11.9,10.1,140,13.5,65.8,0.02,0.77,8.8,0.5,1.9,32.2,<0.1,8.8,0.35,0.5,2.1,92,1.3,7.2,40
C-329012,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,70-100,89.7,N.D.,N.D.,N.D.,N.D.,6,N.D.,6,4.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,2.44,2.8,53,0.3,0.17,0.36,N.D.,0.36,0.01,<0.1,39.1,1.8,25,<5,6.8,1.05,6.33,0.02,0.02,0.13,18.1,11,0.05,89,0.94,0.01,9.2,6.1,70,9.3,12.7,<0.01,0.35,4.1,<0.2,1,9.2,<0.1,8.7,0.32,0.2,1.6,31,0.6,7.2,10
C-328958,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,70-100,79.2,0.2,N.D.,0.2,N.D.,6.3,12.3,18.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2,<1,4.39,5.2,81,0.5,0.2,0.08,N.D.,0.08,<0.01,<0.1,88.2,2.2,34,<5,7.7,2.21,9.31,0.03,0.03,0.23,44.4,19,0.11,66,2.82,<0.01,9.5,10.3,220,15.1,22.7,0.01,0.34,6.7,0.6,1.3,23,<0.1,19.5,0.39,0.3,4.5,63,0.6,8.1,22
C-329021,2704,AL,32.9905,-86.651,02/23/09,Forested Upland,Mixed Forest,30-60,40.6,0.8,N.D.,0.8,N.D.,36.7,10.6,47.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,11.3,<1,10.3,29.6,487,3.2,0.37,0.32,N.D.,0.32,0.01,<0.1,150,1.9,33,<5,57.7,3.58,25.1,0.02,0.09,2.67,66.8,23,0.24,72,0.95,0.29,11.8,14.7,300,15,114,0.02,0.42,15.2,0.7,2.3,63.5,0.1,18.7,0.28,0.8,4,57,1.3,12.3,19
C-328823,2768,AL,32.5952,-85.5658,02/20/09,Planted/Cultivated,Pasture/Hay,80-100,61.5,N.D.,N.D.,N.D.,N.D.,4.2,26.4,30.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,7.8,<1,9.79,5.6,170,2.6,0.35,0.28,N.D.,0.28,<0.01,<0.1,61.7,4.9,50,<5,13.6,5.11,26.9,0.04,0.1,0.35,38.9,30,0.08,49,1.61,0.02,25,14,210,25.4,27.2,0.02,0.6,10.3,2,3.1,41.3,<0.1,14.1,0.47,0.3,3.3,99,2,5.6,29
C-328950,2848,AL,32.392,-87.4686,02/21/09,Developed,Low Intensity Residential,70-100,43.1,2.6,N.D.,2.6,11.4,14.8,14.1,40.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,14,<1,8.85,9.6,230,1.7,0.39,0.16,N.D.,0.16,0.34,<0.1,73.9,6.1,126,5,22,4.32,17.4,0.03,0.09,0.9,33.9,107,0.52,136,1.59,0.11,18.5,31.7,160,23.6,74.7,0.01,0.89,16.2,0.5,2.7,77.5,<0.1,15.8,0.54,0.7,4.5,131,1.2,13.9,83
C-329013,2960,AL,34.0736,-87.9234,02/25/09,Forested Upland,Deciduous Forest,60-100,87,N.D.,N.D.,N.D.,N.D.,13,N.D.,13,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,2.55,3.8,204,0.5,0.13,0.27,N.D.,0.27,0.03,<0.1,38.1,3.6,16,<5,10.3,1.22,5.4,0.05,<0.02,0.52,16.4,15,0.14,119,0.64,0.07,6.8,10.2,120,9.9,30.4,<0.01,0.35,4,0.2,0.7,21.8,<0.1,6.6,0.22,0.3,2.1,35,0.6,6.7,29
C-328821,3052,AL,34.9852,-87.5194,02/25/09,Planted/Cultivated,Pasture/Hay,30-100,77.6,1.8,N.D.,1.8,N.D.,14.7,N.D.,14.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6,<1,4.3,8.1,245,1.1,0.23,0.32,N.D.,0.32,0.03,<0.1,48.3,7.2,58,<5,11.8,2.92,11.1,0.07,0.04,0.61,20.9,27,0.19,250,1.54,0.08,12.4,14.4,230,16.1,49.3,0.02,0.92,6.4,0.5,1.4,29.3,<0.1,8.7,0.41,0.5,2.8,75,0.6,9.9,46
C-329008,3168,AL,31.3746,-88.0048,02/17/09,Developed,Low Intensity Residential,60-100,78.6,N.D.,N.D.,N.D.,N.D.,9,8.9,17.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.6,<1,3.95,4.6,209,0.9,0.19,0.16,N.D.,0.16,0.02,<0.1,63.1,4,29,<5,11.3,2.28,9.66,0.03,0.04,0.58,29.5,24,0.18,78,0.88,0.04,13.3,9.7,140,14.4,40.1,0.01,0.4,6.7,0.6,1.3,28.2,<0.1,12.5,0.38,0.4,3.1,61,0.7,10.8,39
C-328848,3472,AL,33.3123,-87.8587,02/21/09,Planted/Cultivated,Pasture/Hay,50-75,93.5,1.4,N.D.,1.4,N.D.,5.1,N.D.,5.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,1.19,1.5,136,0.4,0.08,0.21,N.D.,0.21,<0.01,<0.1,45.6,2.9,11,<5,5.1,0.68,3.34,0.02,<0.02,0.3,19.9,9,0.05,63,0.29,0.01,3,6,80,6.1,21.9,<0.01,0.22,2.2,<0.2,0.6,14.5,<0.1,5.4,0.24,0.2,1.5,17,0.2,8.2,18
C-329011,3536,AL,33.6629,-85.66,02/24/09,Planted/Cultivated,Fallow,80-100,34.3,3.1,2,5,N.D.,28.6,18.4,47,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,13.7,<1,11.2,10.4,628,3.3,0.39,0.17,N.D.,0.17,0.02,<0.1,77.5,6.3,51,<5,29.1,5.59,25.5,0.04,0.09,2.96,32.9,31,0.21,81,0.89,0.45,6.1,28.9,350,19.9,140,0.03,0.44,18.4,0.6,2.4,71.4,<0.1,16.9,0.2,0.8,4.1,93,0.6,8.1,37
C-328963,3616,AL,30.8919,-88.0869,02/17/09,Developed,Low Intensity Residential,85-100,96.1,N.D.,N.D.,N.D.,N.D.,4,N.D.,4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.3,<0.6,22,<0.1,<0.04,0.04,N.D.,0.04,<0.01,<0.1,9.6,0.3,2,<5,1.8,0.16,0.67,<0.01,<0.02,0.02,5.1,3,<0.01,12,0.12,<0.01,1.4,2.3,<50,2.9,1.9,<0.01,0.07,0.5,<0.2,0.1,2.9,<0.1,1.4,0.06,<0.1,0.5,4,<0.1,1.4,7
C-328843,3728,AL,32.6467,-86.5986,02/23/09,Planted/Cultivated,Pasture/Hay,60-100,96.4,N.D.,N.D.,N.D.,N.D.,3.6,N.D.,3.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.94,1.2,80,0.3,0.05,0.09,N.D.,0.09,<0.01,<0.1,73.4,1.5,8,<5,3.4,0.5,2.41,0.01,<0.02,0.15,34.1,6,0.05,71,0.16,<0.01,3.2,4.1,110,5.2,11.6,<0.01,0.11,1.6,<0.2,0.4,7.7,<0.1,10.8,0.19,<0.1,1.3,14,0.1,6.4,11
C-328889,3792,AL,33.0284,-85.6592,02/23/09,Developed,Low Intensity Residential,60-100,44.9,N.D.,N.D.,N.D.,N.D.,9,38.7,47.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.1,N.D.,N.D.,N.D.,N.D.,5.3,<1,5.63,2.1,92,1.2,0.23,0.04,N.D.,0.04,<0.01,<0.1,74.5,1.9,10,<5,21.4,4.58,17.6,0.02,0.07,0.21,11.5,9,0.06,98,0.52,<0.01,0.2,13.5,240,21.3,24.2,0.02,<0.05,10,0.6,1.7,8.1,<0.1,17.7,0.1,0.3,3,50,<0.1,3.9,27
C-328852,3872,AL,31.9654,-87.0744,02/20/09,Planted/Cultivated,Pasture/Hay,60-100,14.5,2.3,N.D.,2.3,15.1,5.2,N.D.,20.3,N.D.,33.5,N.D.,N.D.,33.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,29.5,<1,5.45,4.5,353,1.7,0.24,3.94,4,N.D.,13.9,0.3,47.4,10.3,54,7,17.5,2.98,13,0.03,0.06,1.29,24.4,30,0.97,268,0.42,0.06,7.5,33,540,13,70.5,0.02,0.43,9.6,0.2,1.6,526,<0.1,8.1,0.19,0.4,1.4,145,0.8,15.1,94
C-328854,3984,AL,34.5247,-86.4085,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,64.2,N.D.,N.D.,N.D.,N.D.,9.8,14.6,24.3,9.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.1,<1,7.15,4.3,166,0.9,0.21,0.15,N.D.,0.15,0.02,<0.1,43.5,3.4,47,<5,9.4,4.6,19.3,0.17,0.06,0.58,23.8,32,0.19,79,1.27,0.04,16.6,12.7,160,13.2,39.2,0.02,0.62,8.3,1.1,2.4,28,<0.1,10.2,0.5,0.4,2.7,89,1.1,6.8,36
C-328894,4192,AL,31.0277,-87.061,02/18/09,Developed,Low Intensity Residential,20-100,75.4,N.D.,N.D.,N.D.,N.D.,4,12.2,16.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.4,<1,4.49,4,106,0.5,0.2,0.15,N.D.,0.15,<0.01,<0.1,39,1.3,28,<5,8.8,2.19,10.9,0.01,0.05,0.25,23,10,0.07,33,1.09,0.01,8.7,7.1,90,13.3,20.9,0.01,0.39,8.1,0.3,1.8,16.8,<0.1,11.5,0.35,0.2,2.4,66,0.6,7.2,13
C-328883,4304,AL,34.0374,-87.2118,02/26/09,Forested Upland,Evergreen Forest,50-100,90.4,N.D.,N.D.,N.D.,N.D.,N.D.,5.6,5.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4,<1,1.15,1.3,48,0.2,0.06,0.07,N.D.,0.07,<0.01,<0.1,19.3,1.8,7,<5,4.3,0.59,2.96,0.02,<0.02,0.11,7.6,6,0.04,30,0.3,<0.01,2.5,4,70,3.6,9.7,<0.01,0.22,1.7,<0.2,0.5,11.4,<0.1,2.3,0.09,<0.1,0.7,15,0.3,3.2,8
C-328844,4384,AL,31.4932,-86.1309,02/18/09,Planted/Cultivated,Pasture/Hay,60-100,72.7,N.D.,N.D.,N.D.,N.D.,19,N.D.,19,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.3,<1,3.04,5.1,99,1.5,0.16,0.08,N.D.,0.08,0.08,<0.1,36,2.3,155,<5,9.6,5.4,8.27,0.03,0.04,0.9,19.2,12,0.38,107,0.65,<0.01,5,15.9,370,9.1,69.1,0.01,0.8,6.2,0.3,0.9,17.8,<0.1,5.6,0.16,0.2,1.5,85,0.4,5.4,53
C-328855,4752,AL,33.491,-87.5339,02/26/09,Planted/Cultivated,Fallow,75-100,48.9,N.D.,N.D.,N.D.,N.D.,24.2,14.3,38.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.6,N.D.,N.D.,N.D.,10.1,<1,9.47,9.2,567,2.7,0.32,0.15,N.D.,0.15,<0.01,<0.1,75.8,4,60,9,31.2,4.7,27.2,0.04,0.09,1.92,37.4,48,0.36,74,2.35,0.06,19.3,16.3,290,20.9,143,0.02,1.15,15.8,0.8,3.8,70.8,<0.1,12.1,0.51,0.9,3.9,137,1.7,15,48
C-328832,4816,AL,32.8294,-86.1011,02/23/09,Developed,Low Intensity Residential,5-100,39.9,N.D.,N.D.,N.D.,N.D.,11,46.9,57.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.2,N.D.,N.D.,N.D.,1.1,N.D.,<1,11.9,1.6,707,3.8,0.09,0.17,N.D.,0.17,0.02,<0.1,33.5,3.9,15,<5,10,4.26,31,0.06,0.06,1.23,14.8,33,0.33,127,0.47,0.02,12.5,8,270,18.7,65.6,0.03,0.18,12.9,0.6,6.4,35.8,<0.1,3.5,0.5,0.4,2,92,0.6,6.9,65
C-328845,5008,AL,34.3422,-87.9365,02/25/09,Developed,Low Intensity Residential,30-50,78,1.2,N.D.,1.2,N.D.,13.3,N.D.,13.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,7.4,<1,3.82,4.5,288,1,0.17,0.38,N.D.,0.38,0.02,<0.1,52.1,7.2,29,<5,10.5,2.53,9.59,0.08,0.04,0.64,20.6,22,0.18,392,1.14,0.08,10,13.6,160,14.7,46.4,0.02,0.58,6,0.5,1.3,26.9,<0.1,7.3,0.31,0.5,2.4,58,0.9,9.6,36
C-328959,5328,AL,34.3654,-87.0215,02/26/09,Planted/Cultivated,Pasture/Hay,60-100,62.9,3.2,N.D.,3.2,N.D.,19.7,N.D.,19.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.3,N.D.,N.D.,N.D.,N.D.,12.9,<1,5.91,6.4,811,4.5,0.25,0.72,N.D.,0.72,0.18,0.2,226,15.9,41,5,23.5,2.36,12,0.04,0.04,0.9,127,31,0.2,8030,1.58,0.13,17.7,27.6,470,39.4,97.2,0.02,0.92,8,0.3,1.7,47.6,<0.1,12.7,0.51,1,4.4,70,1.7,96.4,117
C-328961,5408,AL,32.0066,-85.1349,02/19/09,Developed,Low Intensity Residential,60-100,95.6,N.D.,N.D.,N.D.,N.D.,4.4,N.D.,4.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.5,1,41,0.1,0.08,0.03,N.D.,0.03,<0.01,<0.1,48.7,0.6,5,<5,2.2,0.3,1.39,<0.01,<0.02,0.09,23,4,0.02,55,0.09,<0.01,1,2,60,5.4,6.6,<0.01,0.06,1,<0.2,0.4,5.6,<0.1,9.5,0.22,0.1,1.9,8,<0.1,4.4,6
C-328899,5472,AL,32.4912,-87.8568,02/21/09,Developed,Low Intensity Residential,60-100,63.4,N.D.,N.D.,N.D.,N.D.,13.2,23.4,36.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,7.59,9.1,261,2.1,0.46,0.31,N.D.,0.31,0.55,0.2,115,17.5,90,<5,14,4.06,16.6,0.02,0.09,0.41,48,96,0.4,1020,1.39,0.12,20.5,31,140,30.5,46.6,0.01,1.01,13,0.6,2.6,64,<0.1,15.8,0.52,0.7,4.8,108,1.3,27.4,79
C-328887,5520,AL,33.2135,-88.2789,02/21/09,Planted/Cultivated,Urban/Recreational Grasses,50-100,66.5,1.2,N.D.,1.2,7.5,5.6,N.D.,13,N.D.,1.6,N.D.,N.D.,1.6,N.D.,N.D.,N.D.,0.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,16.9,<1,3.42,2.8,251,1.2,0.1,0.55,0.2,0.4,1.57,<0.1,61.6,4.5,28,<5,5.4,1.98,8.77,0.01,0.04,0.94,30,18,0.32,242,0.76,0.18,11.4,10.4,770,10.8,48.2,0.21,0.22,5.3,0.4,1,140,<0.1,11.1,0.3,0.3,2.9,53,0.5,13,36
C-328824,5776,AL,32.9087,-87.3015,02/21/09,Forested Upland,Mixed Forest,75-100,95.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4.9,<1,1.09,1.6,78,0.2,0.07,0.07,N.D.,0.07,<0.01,<0.1,37.6,1.7,8,<5,4,0.58,2.86,0.02,<0.02,0.16,13.6,8,0.05,76,0.33,<0.01,4.7,4.4,80,5.1,15.5,<0.01,0.22,2,<0.2,0.4,9.7,<0.1,3.8,0.22,0.1,1,16,0.9,4.7,13
C-329022,5920,AL,31.44,-87.273,02/18/09,Planted/Cultivated,Pasture/Hay,10-100,72.1,N.D.,N.D.,N.D.,N.D.,N.D.,15.9,15.9,8.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.6,<1,5.64,6.6,59,0.5,0.31,0.14,N.D.,0.14,0.03,<0.1,28.9,2.8,28,<5,15.7,2.41,13.4,0.02,0.04,0.13,12.8,20,0.08,55,1.9,0.01,13.4,21.2,150,10.3,13.4,0.03,0.81,7.1,0.5,1.9,9.7,<0.1,10.5,0.4,0.2,2.2,71,1.3,7.3,27
C-328954,6240,AL,30.6595,-87.7096,02/17/09,Developed,Low Intensity Residential,70-100,62.9,N.D.,N.D.,N.D.,N.D.,5.6,19.4,24.9,6.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.6,<1,7.38,5.8,131,0.7,0.28,0.11,N.D.,0.11,<0.01,<0.1,49.6,2.2,40,<5,10.8,2.67,16,0.02,0.07,0.37,30,17,0.11,47,1.76,0.02,15.5,11.4,110,16.7,23.8,0.01,0.6,9.5,0.6,2.5,24.3,<0.1,15,0.48,0.3,2.7,94,1.1,8.5,18
C-329018,6432,AL,32.1404,-85.8959,02/20/09,Planted/Cultivated,Pasture/Hay,50-100,78.8,0.7,N.D.,0.7,N.D.,9.9,8.6,18.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2,<1,4.24,2.6,167,0.6,0.16,0.12,N.D.,0.12,0.03,<0.1,69.7,2.1,32,<5,2.9,1.5,9.58,0.02,0.03,0.57,32.7,31,0.22,67,1.71,0.04,10.4,6.5,110,14.2,34.8,<0.01,0.23,6.2,0.3,1.2,26.1,<0.1,17.3,0.38,0.4,3.4,54,0.7,6.1,22
