C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-353081,10860,TN,36.4972,-85.2404,07/10/10,Planted/Cultivated,Pasture/Hay,105-120,55.1,N.D.,N.D.,N.D.,N.D.,14.5,8.4,22.9,4.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.9,N.D.,N.D.,N.D.,16.5,<1,7.68,7,314,1.5,0.28,0.16,N.D.,0.16,0.11,0.2,53.6,5.6,68,9,22.6,3.35,18.1,0.07,0.07,1.75,27.2,130,0.58,90,1.49,0.06,14.3,53.8,130,16.4,118,0.01,1.19,12,0.6,2.5,35.2,<0.1,12.3,0.42,0.8,6.9,141,1.6,16.7,153
C-353082,10988,TN,35.4731,-86.9549,07/18/10,Herbaceous Upland,Grasslands/Herbaceous,115-125,76.1,1.8,3.3,5.1,N.D.,6.7,N.D.,6.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.9,N.D.,N.D.,N.D.,N.D.,11.3,<1,2.57,4.5,278,1.1,0.1,0.58,N.D.,0.58,1.85,<0.1,63.4,7.6,24,<5,7,1.51,6.06,0.04,0.02,0.84,32.4,19,0.17,1090,0.58,0.17,4.7,13.4,8310,10.8,40.5,0.03,0.23,4.7,<0.2,0.8,109,<0.1,6.7,0.21,0.3,3.2,29,0.8,43.6,31
C-353083,11080,TN,36.4302,-89.4846,07/15/10,Planted/Cultivated,Row Crops,105-120,55.8,6,17.2,23.2,1.4,6.5,N.D.,7.8,N.D.,0.5,2.9,N.D.,3.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,9.8,<1,4.6,5.1,806,1.1,0.1,0.59,0.4,0.2,1.67,0.2,55.2,6.1,18,<5,7.2,1.42,9.76,0.01,0.02,1.89,30.2,17,0.71,309,0.66,1.14,7.3,14.1,530,13.2,64.8,0.02,0.59,4.6,<0.2,0.9,214,<0.1,7.2,0.2,0.4,2.2,47,0.8,15.7,40
C-353084,11116,TN,35.8097,-83.8596,07/08/10,Forested Upland,Deciduous Forest,55-65,75.6,N.D.,N.D.,N.D.,N.D.,3.9,10.8,14.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,9.8,<1,4.5,15.3,140,1.5,0.25,0.5,N.D.,0.5,0.04,<0.1,57.2,13,29,<5,29.1,2.34,11.8,0.07,0.04,0.54,30,54,0.17,211,1.78,0.04,13.1,35.4,170,24.4,40.9,0.01,0.6,7.8,0.5,1.5,19.7,<0.1,9.5,0.43,0.5,6.1,72,1.2,22.1,80
C-352696,11244,TN,35.6143,-87.9257,07/14/10,Forested Upland,Deciduous Forest,105-120,80.5,0.8,2.2,3,N.D.,8.8,2.3,11.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.3,<1,3.15,5.9,327,0.8,0.1,0.1,N.D.,0.1,0.06,<0.1,47.1,9.5,24,<5,9.4,1.29,7.28,0.04,0.02,1.09,29.5,18,0.15,511,1.88,0.21,6.7,16.4,290,10.4,48.1,0.01,0.5,5.6,0.2,0.8,102,<0.1,6.8,0.28,0.4,3.9,44,0.4,21.7,43
C-353085,11324,TN,36.4231,-87.3988,07/13/10,Forested Upland,Deciduous Forest,40-50,80.4,N.D.,5.2,5.2,N.D.,7.9,3.6,11.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.8,<1,3.01,8.8,268,0.6,0.15,0.36,N.D.,0.36,0.08,<0.1,42.7,10.6,36,<5,11.2,2.42,7.77,0.07,0.03,0.78,20.8,19,0.16,383,1.35,0.19,7.2,14.5,130,15.7,42.1,0.01,0.6,5.2,0.5,1,41,<0.1,7.6,0.3,0.4,3,61,0.4,9.5,49
C-352697,11336,TN,35.6519,-88.8448,07/16/10,Forested Upland,Deciduous Forest,105-120,97.4,N.D.,N.D.,N.D.,N.D.,0.9,N.D.,0.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.7,<1,0.54,2.4,49,0.1,<0.04,0.04,N.D.,0.04,<0.01,<0.1,10.3,0.8,2,<5,1.5,0.25,1.44,0.01,<0.02,0.07,6.2,4,0.03,42,0.12,<0.01,2.1,2.9,70,3.3,4.8,<0.01,0.08,1.1,<0.2,0.2,6.5,<0.1,1.4,0.08,<0.1,0.4,8,<0.1,3.5,8
C-352698,11628,TN,35.0614,-85.2084,07/21/10,Forested Upland,Deciduous Forest,105-120,75.6,0.2,N.D.,0.2,N.D.,7.3,6.2,13.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.6,<1,3.84,5.3,678,1.9,0.17,1.93,N.D.,1.93,0.12,<0.1,76.7,25.8,40,<5,13,2.06,9.38,0.06,0.03,0.76,49.6,29,0.3,5120,0.73,0.06,12.3,19.3,510,19,46.4,0.02,0.49,5.3,0.6,1,32.6,<0.1,8.3,0.41,0.4,2.4,42,1,34.2,48
C-353086,11884,TN,35.8459,-84.6312,07/09/10,Forested Upland,Deciduous Forest,105-120,73.5,2,N.D.,2,N.D.,5.5,8.4,13.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.6,<1,4.25,1.6,410,0.6,0.15,0.07,N.D.,0.07,0.03,<0.1,66.5,2.8,18,<5,5.5,0.68,9.91,0.02,0.03,1.58,30.5,31,0.2,36,0.39,0.09,4.4,9.6,100,17.1,67.3,0.01,0.25,5.6,<0.2,1,49.4,<0.1,9.9,0.28,0.4,3,39,0.3,16.8,26
C-352699,12012,TN,35.0677,-86.0495,07/18/10,Forested Upland,Deciduous Forest,110-125,88.6,N.D.,N.D.,N.D.,2,N.D.,5.1,7.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4.3,<1,2.62,4.5,65,0.3,0.09,0.15,N.D.,0.15,<0.01,<0.1,26.5,1.4,13,<5,5.1,1.15,6.05,0.07,<0.02,0.2,11.8,12,0.1,36,0.54,<0.01,4.4,7.1,120,6.4,16.6,0.01,0.33,3,0.2,0.7,16,<0.1,5.4,0.14,0.2,1.1,32,0.3,4.2,18
C-353088,12140,TN,36.1866,-83.3295,07/08/10,Forested Upland,Deciduous Forest,105-120,30.6,4.8,N.D.,4.8,N.D.,19.2,28.9,48.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.2,N.D.,N.D.,N.D.,15.4,<1,10.5,25.5,163,2,0.26,0.21,N.D.,0.21,0.04,<0.1,88.1,17.6,64,6,41.8,3.94,26,0.09,0.06,2.46,12.1,117,0.82,176,3.03,0.02,11.9,39.6,210,43.6,89.4,0.02,0.48,17.7,0.3,2.1,13.8,<0.1,13.7,0.37,0.8,9.7,108,1.4,11.2,52
C-353089,12268,TN,35.9123,-87.1306,07/12/10,Forested Upland,Deciduous Forest,85-95,80.7,0.3,0.9,1.2,N.D.,10.6,2.1,12.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.4,<1,3.35,6.1,246,0.7,0.11,0.49,N.D.,0.49,0.04,<0.1,52.6,4.1,28,<5,8.2,1.49,7.63,0.04,0.03,0.99,23.8,32,0.21,62,0.79,0.1,3.1,16.6,110,10.5,54.3,0.01,0.16,5,0.4,1,36.5,<0.1,6.3,0.25,0.4,3,57,0.2,13.2,49
C-353090,12348,TN,36.2345,-87.9256,07/13/10,Forested Upland,Deciduous Forest,35-45,77.7,1,N.D.,1,3.4,8.1,5.1,16.6,4.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,4.98,5.6,266,0.9,0.17,0.5,N.D.,0.5,0.05,<0.1,50.2,3.2,49,5,13.9,2.36,11.8,0.04,0.04,1.06,35.1,27,0.32,91,1.31,0.15,10,13.8,210,12.6,67.7,0.01,0.72,7.3,0.5,1.6,47.2,<0.1,7.9,0.33,0.6,3.9,91,1.2,18.3,57
C-353091,12604,TN,36.182,-86.92,07/12/10,Planted/Cultivated,Pasture/Hay,105-120,68,1.1,N.D.,1.1,N.D.,22.9,N.D.,22.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8,<1,6.58,12.5,369,2.3,0.25,0.21,N.D.,0.21,0.32,<0.1,103,20.9,48,5,13.6,4.2,16.5,0.04,0.07,1.39,50.7,38,0.48,1830,1.77,0.15,16.5,27.2,2670,22.5,93.5,0.02,0.55,12.3,<0.2,2.3,83,<0.1,13.5,0.49,0.7,5.5,87,1.7,22.4,72
C-353092,12616,TN,35.7731,-89.6628,07/15/10,Planted/Cultivated,Row Crops,105-120,50,5.3,13,18.2,7.2,4.8,0.2,12.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,19.6,<1,5.25,5,813,1.3,0.17,0.21,N.D.,0.21,0.74,0.2,55.5,7.6,29,<5,14.1,1.89,11.3,0.03,0.03,1.88,30.4,22,0.52,282,0.49,1.01,8.7,19.8,500,15.1,68.6,0.02,0.72,6.1,<0.2,1.4,190,<0.1,8.4,0.24,0.5,2.4,65,1.2,18,60
